id,supplier,customer,gpuModel,contractValueUsd,potentialValueUsd,contractStatus,linkedProjectId,announcedDate,expectedOnlineDate,confidenceScore,sourceUrl,notes
contract_iren_microsoft_gb300_2025,IREN,Microsoft,NVIDIA GB300,9700000000,,signed,iren_childress_microsoft_gb300,2025-11-03,2026 phased,92,https://iren.com/resources/blog/iren-signs97-billion-agreement-with-microsoft-to-deploy-ai-cloud-infrastructure,Five-year agreement; GPU deployment in four phases through 2026; IREN states 200 MW critical IT load and $1.94B annualized run-rate once fully commissioned.
contract_nebius_microsoft_2025,Nebius,Microsoft,NVIDIA GPUs,17400000000,19400000000,signed,nebius_vineland_microsoft_ai_infra,2025-09-08,2025-2026 phased,86,https://www.reuters.com/business/nebius-group-hits-record-high-174-billion-microsoft-deal-affirms-expansion-2025-09-09/,"Reuters reported $17.4B over five years, expandable to $19.4B. Nebius company release confirms agreement and Vineland dedicated capacity but did not state the dollar value in the accessible excerpt."
contract_nebius_meta_vera_rubin_2026,Nebius,Meta,NVIDIA Vera Rubin,12000000000,27000000000,signed,,2026-03-16,2027-early,88,https://nebius.com/newsroom/nebius-signs-new-ai-infrastructure-agreement-with-meta,"Nebius announced $12B dedicated capacity across multiple locations based on one of the first large-scale NVIDIA Vera Rubin deployments, with Meta commitment for up to $15B additional capacity. No project-level coordinates disclosed."
contract_applied_digital_coreweave_ellendale_2025,Applied Digital,CoreWeave,NVIDIA GPUs,7000000000,,signed,applied_digital_ellendale_coreweave,2025-06-02,2025-Q4 / 2026 phased,92,https://ir.applieddigital.com/news-events/press-releases/detail/123/applied-digital-announces-250mw-ai-data-center-lease-with,15-year lease for 250 MW critical IT load with CoreWeave; approximately $7B expected revenue; CoreWeave option for additional 150 MW.
contract_terawulf_fluidstack_google_2025,TeraWulf,Fluidstack / Google backstop,Liquid-cooled AI workloads,3700000000,8700000000,signed,terawulf_lake_mariner_fluidstack_google,2025-08-14,2026,90,https://investors.terawulf.com/news-events/press-releases/detail/112/terawulf-signs-200-mw-10-year-ai-hosting-agreements-with-fluidstack,Two 10-year HPC colocation agreements for more than 200 MW critical IT load; $3.7B contracted revenue; $8.7B possible with extensions; Google backstop $1.8B.
contract_cipher_fluidstack_google_2025,Cipher Mining,Fluidstack / Google backstop,AI hosting,3800000000,9000000000,signed,cipher_barber_lake_fluidstack_google,2025-09-25 / 2025-12-18,2026-09 / 2027-01 phased,86,https://www.sec.gov/Archives/edgar/data/1819989/000095010325015073/dp237633_ex9901.htm,"Initial 168 MW critical IT load agreement plus 56 MW gross / 39 MW critical expansion. Dec. 2025 SEC exhibit says full 300 MW capacity leased, total contracted revenue approximately $3.8B and up to $9B if extensions are exercised."
contract_hut8_river_bend_anthropic_fluidstack_2025,Hut 8,Anthropic / Fluidstack,High-performance AI clusters,7000000000,17700000000,signed,hut8_river_bend_anthropic_fluidstack,2025-12-17,2027-early,90,https://www.prnewswire.com/news-releases/hut-8-announces-ai-infrastructure-partnership-with-anthropic-and-fluidstack-302644377.html,"Hut 8 partnership for at least 245 MW and up to 2,295 MW across tranches for Anthropic, operated by Fluidstack. River Bend lease value separately disclosed as $7B in Hut 8's River Bend release."
contract_hut8_beacon_point_confidential_2026,Hut 8,Confidential high-investment-grade tenant,NVIDIA DSX reference architecture,9800000000,25100000000,signed,hut8_beacon_point_nueces_confidential,2026-05-06,2027-Q3,92,https://www.prnewswire.com/news-releases/hut-8-commercializes-first-phase-of-1-gw-beacon-point-ai-data-center-campus-with-15-year-352-mw-it-lease-with-base-term-contract-value-of-9-8-billion-302763484.html,"15-year 352 MW IT lease; $9.8B base-term value and up to $25.1B with renewals; 1 GW campus in Nueces County, Texas."
contract_core_scientific_coreweave_austin_2024,Core Scientific,CoreWeave,NVIDIA GPUs,100000000,,signed,core_scientific_austin_coreweave_16mw,2024-03-06,2024,88,https://investors.corescientific.com/news-events/press-releases/detail/9/core-scientific-to-provide-coreweave-up-to-16-mw-of-data-center-infrastructure-to-support-ai-and-hpc-workloads-in-long-term-hosting-contract-with-potential-revenue-of-more-than-100-million,"Multi-year hosting contract for up to 16 MW in Austin, with more than $100M potential revenue. contractValueUsd is conservatively recorded as $100M minimum-display value."
contract_core_scientific_coreweave_multisite_2024,Core Scientific,CoreWeave,NVIDIA GPUs,4725000000,,signed,core_scientific_multi_site_coreweave_270mw,2024-06-03 / 2024-06-25,2025-H2,82,https://investors.corescientific.com/news-events/press-releases/detail/78/core-scientific-announces-new-contract-with-coreweave-for-delivery-of-approximately-70-mw-of-additional-infrastructure-to-host-high-performance-computing-operations,Approximately 200 MW multi-site contracts estimated at more than $3.5B plus 70 MW additional contract with $1.225B projected revenue. Specific locations are not disclosed.
contract_lambda_hrt_blackwell_2026,Lambda,Hudson River Trading,NVIDIA Blackwell,,,signed,lambda_hrt_blackwell_cloud_deal,2026-05-20,2026,75,https://www.reuters.com/legal/transactional/lamda-wins-cloud-deal-with-hudson-river-trading-supply-access-nvidia-chips-2026-05-20/,"Reuters reported the deal gives HRT access to more than 1,000 Blackwell systems; financial terms and location undisclosed."
