source_name,source_url_or_file,source_type,source_date,last_updated,confidence,metrics_count,numeric_metrics_count,segments,note
IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,5,5,power_cooling,IEA estimates 2024 data center electricity consumption at around 415 TWh.
Reuters / Morgan Stanley via Investing.com,https://www.investing.com/news/stock-market-news/ai-chipflation-spreading-from-data-centers-wider-economy-morgan-stanley-warns-4724276,news_wire,2026-06-03,2026-06-04,Medium,1,1,memory,Reuters reported Morgan Stanley warning that memory chip prices had spiked six-fold over the past year.
Reuters / user source packet,https://www.reuters.com/business/retail-consumer/ai-chipflation-spreading-data-centers-wider-economy-morgan-stanley-warns-2026-06-03/,news_wire,2026-06-03,2026-06-04,Medium,2,2,memory,User-provided source packet attributes this 1Q26 DRAM price indicator to Reuters-related reporting; keep Medium confidence until original table is archived.
Micron Technology FQ1 2026 prepared remarks,https://investors.micron.com/static-files/088991c5-a249-4f66-a0a6-258d9b66f3f9,company_ir,2025-12-17,2026-06-04,High,3,3,hbm,Micron forecast HBM TAM from approximately USD 35bn in 2025.
NVIDIA Q1 FY2027 results,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2027/default.aspx,company_ir,2026-05-20,2026-06-04,High,4,4,ai_accelerator,NVIDIA reported Q1 FY2027 revenue of USD 81.615bn.
Broadcom FY2025 results,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2025,company_ir,2025-12-11,2026-06-04,High,3,3,networking_asic,Broadcom reported FY2025 total net revenue of USD 63.887bn.
Marvell FY2026 results,https://investor.marvell.com/news-events/press-releases/detail/1011/marvell-technology-inc-reports-fourth-quarter-and-fiscal-year-2026-financial-results,company_ir,2026-03-04,2026-06-04,High,4,4,networking_asic,Marvell delivered record FY2026 revenue of USD 8.195bn.
TrendForce advanced packaging article,https://www.trendforce.com/presscenter/news/20260430-13028.html,industry_research,2026-04-30,2026-06-04,High,1,0,cowos,TrendForce states AI demand is tightening 3nm-2nm wafers and 2.5D/3D advanced packaging and that CoWoS shortage has persisted since 2023.
TSMC 2025 Annual Report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,company_ir,2026-02-28,2026-06-04,High,8,8,foundry,TSMC reported FY2025 consolidated revenue of NT$3
LightCounting April 2026 forecast,https://www.lightcounting.com/newsletter/en/april-2026-market-forecast-379,industry_research,2026-04,2026-06-04,Medium,2,1,optical_cpo,LightCounting states the forecast database includes historical data and forecasts for shipments pricing and sales of more than 200 products.
Dell Q1 FY2027 results,https://investors.delltechnologies.com/static-files/ef369f17-2b83-4fd4-9a37-6b6ab53ac9c5,company_ir,2026-05-28,2026-06-04,High,6,6,server_odm_oem,Dell reported Q1 FY2027 AI-optimized servers revenue of USD 16.132bn.
