section,missing_data,required_columns,suggested_source,reason_needed,priority
"SECTION 2. 한국","KOSPI 전체 시가총액 추이","Date, Market Cap","KRX/Bloomberg","시장 전체와 반도체 대형주의 기여도 분해","High"
"SECTION 2. 한국","삼성전자 시가총액 추이","Date, Market Cap","Bloomberg/KRX","시가총액 비중 계산","High"
"SECTION 2. 한국","SK하이닉스 시가총액 추이","Date, Market Cap","Bloomberg/KRX","시가총액 비중 계산","High"
"SECTION 2. 한국","전닉 시총 비중","Date, 삼성전자 Market Cap, SK하이닉스 Market Cap, KOSPI Market Cap","KRX/Bloomberg","대형 반도체주 기여도 산출","High"
"SECTION 2. 한국","KRX 전체 외국인 순매수","Date, Net Buy","KRX","외국인 수급 차트 생성","Medium"
"SECTION 2. 한국","삼성전자 외국인 순매수","Date, Net Buy","KRX/Bloomberg","종목별 외국인 수급 비교","Medium"
"SECTION 2. 한국","SK하이닉스 외국인 순매수","Date, Net Buy","KRX/Bloomberg","종목별 외국인 수급 비교","Medium"
"SECTION 2. 한국","상승/하락/보합 종목 수","Date, Advancers, Decliners, Unchanged","KRX","시장 폭 분석","Medium"
"SECTION 2. 한국","레버리지 ETF 상장일/거래대금/순매수","Date, Ticker, Listing Date, Trading Value, Net Buy","KRX/Bloomberg","레버리지 ETF 수급 이벤트 분석","Low"
"SECTION 3. 미국","Micron 주가·시총","Date, PX_LAST, Market Cap","Bloomberg","Micron과 DRAM 테마 비교","High"
"SECTION 3. 미국","Micron 미국 시총 순위 검증 데이터","Date, Rank, Market Cap","Bloomberg/FactSet","시총 순위 검증","Medium"
"SECTION 3. 미국","SOXX, SMH 등 반도체 ETF","Date, PX_LAST, PX_VOLUME","Bloomberg","반도체 ETF 상대성과 비교","High"
"SECTION 3. 미국","빅테크 CAPEX: MSFT, GOOGL, AMZN, META, ORCL","Date, Company, CAPEX","Company filings/Bloomberg","AI 투자 확산 검증","Medium"
"SECTION 3. 미국","빅테크 CAPEX 컨센서스","Date, Company, Consensus CAPEX","Bloomberg/FactSet","추정치 기반 차트 생성","Medium"
"SECTION 3. 미국","FOMC WIRP 정상 데이터","Date, Meeting, Implied Probability","Bloomberg WIRP","금리 확률 차트 생성","High"
"SECTION 3. 미국","케빈 워시 이벤트 날짜","Date, Event","News source","이벤트 주석 표시","Low"
"SECTION 4. 중국","YMTC IPO 이벤트","Date, Event, Source URL","News/Bloomberg","이벤트 주석 표시","Medium"
"SECTION 4. 중국","CXMT IPO 이벤트","Date, Event, Source URL","News/Bloomberg","이벤트 주석 표시","Medium"
"SECTION 4. 중국","중국 반도체 기업 주가: SMIC, Hua Hong, NAURA, AMEC 등","Date, Ticker, PX_LAST, PX_VOLUME","Bloomberg","중국 반도체주 상대성과 비교","High"
"SECTION 4. 중국","글로벌 DRAM 기업 비교: Micron, 삼성전자, SK하이닉스, Nanya, Winbond","Date, Ticker, PX_LAST, Market Cap","Bloomberg","글로벌 DRAM 기업 성과 비교","High"
"SECTION 4. 중국","DRAM 현물가격","Date, Spot Price","DRAMeXchange/Bloomberg","상품 가격과 주가 비교","High"
"SECTION 4. 중국","중국 DRAM 생산능력 데이터","Date, Company, Capacity","Industry source","중국 공급 확대 검증","Medium"
"SECTION 5. 산업·테마","SpaceX IPO 예상 밸류에이션","Date, Valuation, Source URL","Verified source","비상장 밸류에이션은 출처 URL 없이는 차트 금지","High"
"SECTION 5. 산업·테마","SpaceX 예상 공모액","Date, Offering Amount, Source URL","Verified source","비상장 추정치 검증","High"
"SECTION 5. 산업·테마","SpaceX 예상 상장 시점","Date, Event, Source URL","Verified source","이벤트 주석 표시","Medium"
"SECTION 5. 산업·테마","SPCE 주가·거래량","Date, PX_LAST, PX_VOLUME","Bloomberg","상장 우주 관련주 비교","Medium"
"SECTION 5. 산업·테마","SPCE Short Interest","Date, Short Interest","Bloomberg/Exchange","투기 심리 분석","Medium"
"SECTION 5. 산업·테마","Reddit SPCE 언급량","Date, Mentions, Source URL","Social data provider","출처 없는 소셜 데이터 차트 금지","Low"
"SECTION 5. 산업·테마","ARKX, UFO 등 우주 ETF","Date, Ticker, PX_LAST, PX_VOLUME","Bloomberg","우주 ETF 상대성과 비교","Medium"
"SECTION 5. 산업·테마","RKLB, LUNR, ASTS 등 우주 관련주","Date, Ticker, PX_LAST, PX_VOLUME","Bloomberg","우주 관련주 성과 비교","Medium"
"SECTION 5. 산업·테마","NASA 계약/예산 이벤트","Date, Event, Source URL","NASA/US budget source","이벤트 주석 표시","Low"
