segment_id,entity,metric_id,metric_name,period,value,unit,value_type,is_proxy,source_name,source_url_or_file,source_type,source_date,last_updated,confidence,note
power_cooling,Global data centers,global_dc_electricity_consumption,Global data center electricity consumption,2024,415,TWh,reported_estimate,false,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,IEA estimates 2024 data center electricity consumption at around 415 TWh.
power_cooling,Global data centers,global_dc_electricity_share,Global data center share of electricity consumption,2024,1.5,% of global electricity,reported_estimate,false,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,IEA estimates the 2024 share at about 1.5 percent of global electricity consumption.
power_cooling,Global data centers,global_dc_electricity_consumption_base_case,Global data center electricity consumption base case,2030E,945,TWh,forecast,false,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,IEA Base Case projects global data center electricity consumption around 945 TWh by 2030.
power_cooling,Global data centers,global_dc_electricity_cagr,Global data center electricity CAGR,2024-2030E,15,% per year,derived_by_source,false,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,IEA states data center electricity demand grows around 15 percent per year in the Base Case.
power_cooling,Accelerated servers,accelerated_server_electricity_growth,Accelerated server electricity growth,2024-2030E,30,% per year,derived_by_source,true,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,public_report,2025,2026-06-04,High,IEA projects accelerated server electricity consumption to grow by around 30 percent annually in the Base Case.
memory,Memory chips,memory_chip_price_increase,Memory chip price increase,Latest,6,x,reported_estimate,true,Reuters / Morgan Stanley via Investing.com,https://www.investing.com/news/stock-market-news/ai-chipflation-spreading-from-data-centers-wider-economy-morgan-stanley-warns-4724276,news_wire,2026-06-03,2026-06-04,Medium,Reuters reported Morgan Stanley warning that memory chip prices had spiked six-fold over the past year.
memory,DRAM,dram_contract_price_change,DRAM contract price change,1Q26,83,% QoQ,reported_estimate,true,Reuters / user source packet,https://www.reuters.com/business/retail-consumer/ai-chipflation-spreading-data-centers-wider-economy-morgan-stanley-warns-2026-06-03/,news_wire,2026-06-03,2026-06-04,Medium,User-provided source packet attributes this 1Q26 DRAM price indicator to Reuters-related reporting; keep Medium confidence until original table is archived.
memory,NAND,nand_price_change_selected_products,NAND selected product price change,1Q26,160,% QoQ,reported_estimate,true,Reuters / user source packet,https://www.reuters.com/business/retail-consumer/ai-chipflation-spreading-data-centers-wider-economy-morgan-stanley-warns-2026-06-03/,news_wire,2026-06-03,2026-06-04,Medium,User-provided source packet attributes this selected NAND price indicator to Reuters-related reporting; keep Medium confidence until original table is archived.
hbm,HBM market,hbm_tam,HBM TAM,2025,35,USD bn,company_forecast,false,Micron Technology FQ1 2026 prepared remarks,https://investors.micron.com/static-files/088991c5-a249-4f66-a0a6-258d9b66f3f9,company_ir,2025-12-17,2026-06-04,High,Micron forecast HBM TAM from approximately USD 35bn in 2025.
hbm,HBM market,hbm_tam,HBM TAM,2028E,100,USD bn,company_forecast,false,Micron Technology FQ1 2026 prepared remarks,https://investors.micron.com/static-files/088991c5-a249-4f66-a0a6-258d9b66f3f9,company_ir,2025-12-17,2026-06-04,High,Micron forecast HBM TAM around USD 100bn in 2028.
