company,ticker,exchange,country,segment_ids,role,valuation_note,manual_ev_sales,manual_per,source_name,source_url_or_file,last_updated,note
NVIDIA,NVDA,Nasdaq,US,ai_accelerator;networking_asic,GPU platform and networking,Manual valuation fields intentionally blank until sourced,,,NVIDIA IR,https://investor.nvidia.com/financial-info/financial-reports/default.aspx,2026-06-04,Related to AI accelerator demand and data center revenue.
AMD,AMD,Nasdaq,US,ai_accelerator,GPU and CPU platform,Manual valuation fields intentionally blank until sourced,,,AMD IR,https://ir.amd.com/,2026-06-04,Included for stock-return update coverage.
Broadcom,AVGO,Nasdaq,US,networking_asic,Custom ASIC and networking,Manual valuation fields intentionally blank until sourced,,,Broadcom IR,https://investors.broadcom.com/,2026-06-04,Related to AI semiconductor and networking ASIC exposure.
Marvell,MRVL,Nasdaq,US,networking_asic;optical_cpo,Custom silicon and optical DSP,Manual valuation fields intentionally blank until sourced,,,Marvell IR,https://investor.marvell.com/,2026-06-04,Related to custom XPU and optical interconnect exposure.
SK Hynix,000660.KS,KRX,Korea,hbm;memory,HBM and memory supplier,Manual valuation fields intentionally blank until sourced,,,SK Hynix IR,https://www.skhynix.com/eng/ir/IRArchive.jsp,2026-06-04,Included for HBM and memory exposure.
Samsung Electronics,005930.KS,KRX,Korea,hbm;memory;foundry,Memory and foundry supplier,Manual valuation fields intentionally blank until sourced,,,Samsung Electronics IR,https://www.samsung.com/global/ir/,2026-06-04,Included for memory and foundry exposure.
Micron,MU,Nasdaq,US,hbm;memory,HBM and memory supplier,Manual valuation fields intentionally blank until sourced,,,Micron IR,https://investors.micron.com/,2026-06-04,Related to HBM TAM forecast and memory exposure.
TSMC,TSM,NYSE,Taiwan,foundry;cowos,Foundry and advanced packaging,Manual valuation fields intentionally blank until sourced,,,TSMC IR,https://investor.tsmc.com/,2026-06-04,Related to advanced node and CoWoS capacity.
ASE Technology,ASX,NYSE,Taiwan,cowos,OSAT,Manual valuation fields intentionally blank until sourced,,,ASE IR,https://www.aseglobal.com/en/investor-relations,2026-06-04,Included for advanced packaging spillover exposure.
Amkor,AMKR,Nasdaq,US,cowos,OSAT,Manual valuation fields intentionally blank until sourced,,,Amkor IR,https://ir.amkor.com/,2026-06-04,Included for advanced packaging spillover exposure.
Ibiden,4062.T,TSE,Japan,abf_substrate,ABF substrate supplier,Manual valuation fields intentionally blank until sourced,,,Ibiden IR,https://www.ibiden.com/ir/,2026-06-04,Included for substrate exposure.
Vertiv,VRT,NYSE,US,power_cooling,Power and cooling equipment,Manual valuation fields intentionally blank until sourced,,,Vertiv IR,https://investors.vertiv.com/,2026-06-04,Included for data center power and cooling exposure.
Eaton,ETN,NYSE,US,power_cooling,Electrical equipment,Manual valuation fields intentionally blank until sourced,,,Eaton IR,https://www.eaton.com/us/en-us/company/investor-relations.html,2026-06-04,Included for electrical infrastructure exposure.
Schneider Electric,SU.PA,Euronext Paris,France,power_cooling,Electrical and energy management,Manual valuation fields intentionally blank until sourced,,,Schneider Electric IR,https://www.se.com/ww/en/about-us/investor-relations/,2026-06-04,Included for energy management exposure.
GE Vernova,GEV,NYSE,US,power_cooling,Grid and power equipment,Manual valuation fields intentionally blank until sourced,,,GE Vernova IR,https://www.gevernova.com/investors,2026-06-04,Included for grid and power exposure.
Dell Technologies,DELL,NYSE,US,server_odm_oem,AI server OEM,Manual valuation fields intentionally blank until sourced,,,Dell IR,https://investors.delltechnologies.com/,2026-06-04,Related to AI-optimized server revenue.
Super Micro Computer,SMCI,Nasdaq,US,server_odm_oem,AI server OEM,Manual valuation fields intentionally blank until sourced,,,Supermicro IR,https://ir.supermicro.com/,2026-06-04,Included for AI server exposure.
Wiwynn,6669.TW,TWSE,Taiwan,server_odm_oem,Cloud server ODM,Manual valuation fields intentionally blank until sourced,,,Wiwynn IR,https://www.wiwynn.com/investors,2026-06-04,Included for server ODM exposure.
Quanta Computer,2382.TW,TWSE,Taiwan,server_odm_oem,Server ODM,Manual valuation fields intentionally blank until sourced,,,Quanta IR,https://www.quantatw.com/Quanta/english/IR,2026-06-04,Included for server ODM exposure.
Wistron,3231.TW,TWSE,Taiwan,server_odm_oem,Server ODM,Manual valuation fields intentionally blank until sourced,,,Wistron IR,https://www.wistron.com/CMS/Page/9,2026-06-04,Included for server ODM exposure.
Coherent,COHR,NYSE,US,optical_cpo,Optical components,Manual valuation fields intentionally blank until sourced,,,Coherent IR,https://investors.coherent.com/,2026-06-04,Included for optical component exposure.
Lumentum,LITE,Nasdaq,US,optical_cpo,Optical components,Manual valuation fields intentionally blank until sourced,,,Lumentum IR,https://investor.lumentum.com/,2026-06-04,Included for optical component exposure.
Fabrinet,FN,NYSE,Thailand/US,optical_cpo,Optical manufacturing,Manual valuation fields intentionally blank until sourced,,,Fabrinet IR,https://investor.fabrinet.com/,2026-06-04,Included for optical manufacturing exposure.
Arista Networks,ANET,NYSE,US,networking_asic;optical_cpo,AI networking systems,Manual valuation fields intentionally blank until sourced,,,Arista IR,https://investors.arista.com/,2026-06-04,Included for AI networking exposure.
Cisco,CSCO,Nasdaq,US,networking_asic;optical_cpo,Networking systems,Manual valuation fields intentionally blank until sourced,,,Cisco IR,https://investor.cisco.com/,2026-06-04,Included for networking exposure.
