id,company,projectName,customer,country,state,city,latitude,longitude,locationAccuracy,status,projectType,powerMwPlanned,powerMwSecured,gpuModel,gpuCount,contractValueUsd,contractStatus,announcedDate,expectedOnlineDate,lastUpdated,confidenceScore,sourceUrl,notes
iren_childress_microsoft_gb300,IREN,Childress Campus - Microsoft GB300 AI Cloud,Microsoft,USA,Texas,Childress,34.4265,-100.204,city_level,under_construction,ai_factory,750,200,NVIDIA GB300,,9700000000,signed,2025-11-03,2026,2026-06-03,90,https://iren.com/resources/blog/iren-signs97-billion-agreement-with-microsoft-to-deploy-ai-cloud-infrastructure,"Company announcement states approximately $9.7B agreement with Microsoft for NVIDIA GB300 infrastructure at IREN's 750 MW Childress campus, with GPU deployment in four phases through 2026 and 200 MW critical IT load. Coordinates are city-level, not exact site."
nebius_vineland_microsoft_ai_infra,Nebius,Vineland New Jersey AI Data Center - Microsoft Dedicated Capacity,Microsoft,USA,New Jersey,Vineland,39.4862,-75.0257,city_level,under_construction,ai_factory,300,,NVIDIA GPUs,,17400000000,signed,2025-09-08,2025-2026 phased,2026-06-03,82,https://nebius.com/newsroom/nebius-announces-multi-billion-dollar-agreement-with-microsoft-for-ai-infrastructure,"Nebius announced dedicated capacity for Microsoft from its new Vineland, NJ data center. Reuters reported $17.4B over five years, potentially expandable to $19.4B. Nebius hardware/blog pages state the New Jersey region is expandable up to 300 MW. Coordinates are city-level."
nebius_keflavik_iceland_colocation,Nebius,Keflavik Iceland Colocation,Nebius AI Cloud,Iceland,Southern Peninsula,Keflavik,63.9998,-22.5583,city_level,operating,colocation,10,10,NVIDIA GPUs,,,announced,2025-03-05,2025-03,2026-06-03,85,https://nebius.com/blog/posts/300-mw-new-jersey-and-iceland-regions,"Nebius stated it would deploy a 10 MW compute cluster in Keflavik with Verne, powered by Icelandic hydro/geothermal resources. Coordinates are city-level."
nebius_kansas_city_patmos_colocation,Nebius,Kansas City Patmos Colocation,Nebius AI Cloud,USA,Missouri,Kansas City,39.0997,-94.5786,city_level,operating,colocation,40,5,NVIDIA H200 / NVIDIA Blackwell,35000,,announced,2024-11-19,2025,2026-06-03,80,https://nebius.com/hardware,"Nebius describes the Patmos-owned Kansas City colocation as expandable from an initial 5 MW to 40 MW, or about 35,000 GPUs at full potential capacity. GPU count is full-potential disclosure, not currently installed count. Coordinates are city-level."
nebius_longcross_uk_blackwell_ultra,Nebius,Longcross Park UK Colocation - Blackwell Ultra,Nebius AI Cloud / UK customers,United Kingdom,Surrey,Longcross,51.3779,-0.5894,city_level,planned,colocation,,,NVIDIA Blackwell Ultra,4000,,announced,2025,2025-Q4,2026-06-03,75,https://nebius.com/hardware,"Nebius hardware page states initial Q4 2025 deployment of 4,000 NVIDIA Blackwell Ultra GPUs at Ark Data Centres' Longcross Park, Surrey. Coordinates are village-level approximation."
coreweave_lancaster_pa_ai_infra,CoreWeave,Lancaster Pennsylvania AI Infrastructure Commitment,CoreWeave platform,USA,Pennsylvania,Lancaster,40.0379,-76.3055,city_level,planned,data_center,,,,,,announced,2025-06-02,TBD,2026-06-03,72,https://investors.coreweave.com/news/news-details/2025/CoreWeave-Announces-Multi-Billion-Dollar-Commitment-to-AI-Infrastructure-in-Pennsylvania/default.aspx,"CoreWeave announced plans to invest up to $6B to equip a new AI-purpose-built data center in Lancaster, Pennsylvania. Power capacity and GPU count were not disclosed in the cited company release. Coordinates are city-level."
applied_digital_ellendale_coreweave,Applied Digital,Ellendale Campus - CoreWeave 250 MW Lease,CoreWeave,USA,North Dakota,Ellendale,46.0028,-98.527,city_level,under_construction,data_center,400,250,NVIDIA GPUs,,7000000000,signed,2025-06-02,2025-Q4 / 2026 phased,2026-06-03,90,https://ir.applieddigital.com/news-events/press-releases/detail/123/applied-digital-announces-250mw-ai-data-center-lease-with,"Applied Digital announced 15-year lease agreements with CoreWeave for 250 MW critical IT load, approximately $7B revenue, with option for additional 150 MW; campus is designed for 400 MW critical IT load and can scale toward 1 GW over time. Coordinates are city-level."
terawulf_lake_mariner_fluidstack_google,TeraWulf,Lake Mariner Campus - Fluidstack / Google Backstop,Fluidstack / Google backstop,USA,New York,Barker / Somerset area,43.3273,-78.555,county_level,under_construction,data_center,250,200,Liquid-cooled AI workloads,,3700000000,signed,2025-08-14,2026,2026-06-03,82,https://investors.terawulf.com/news-events/press-releases/detail/112/terawulf-signs-200-mw-10-year-ai-hosting-agreements-with-fluidstack,"TeraWulf announced two 10-year HPC colocation agreements with Fluidstack for more than 200 MW critical IT load, about 250 MW gross capacity, $3.7B contracted revenue and potential $8.7B with extensions; Google backstops $1.8B. Coordinates are county/campus-area approximation."
cipher_barber_lake_fluidstack_google,Cipher Mining,Barber Lake Site - Fluidstack AI Hosting,Fluidstack / Google backstop,USA,Texas,Colorado City,32.3882,-100.8646,city_level,under_construction,data_center,300,207,AI hosting / liquid-cooled infrastructure,,3800000000,signed,2025-09-25 / 2025-12-18,2026-09 / 2027-01 phased,2026-06-03,80,https://www.sec.gov/Archives/edgar/data/1819989/000095010325015073/dp237633_ex9901.htm,"Initial 168 MW critical IT load was announced in Sep. 2025; Dec. 2025 expansion added 39 MW critical IT load / 56 MW gross capacity, bringing total contracted partnership revenue to about $3.8B and full 300 MW capacity leased at Barber Lake. Coordinates are city-level."
crusoe_abilene_oracle_openai_stargate,Crusoe,Abilene AI Data Center Campus - Oracle / OpenAI Stargate,Oracle / OpenAI,USA,Texas,Abilene,32.4487,-99.7331,city_level,under_construction,ai_factory,1200,200,NVIDIA GB200 NVL72,,,announced,2024-07 / 2025-01,2025-2026 phased,2026-06-03,86,https://www.crusoe.ai/resources/newsroom/crusoe-expands-ai-data-center-campus-in-abilene-to-1-2-gigawatts,"Crusoe announced expansion of the Abilene campus to 1.2 GW across eight buildings; initial phase includes two buildings and more than 200 MW. Each building is designed to support up to 50,000 NVIDIA GB200 NVL72s on one network fabric. Coordinates are city-level."
